rate_date,currency,rate_to_base
2023-02-16,EUR,39.564
2023-02-16,UAH,1.0
2023-02-17,USD,37.3645
2023-02-17,EUR,39.5305
2023-02-17,UAH,1.0
2023-02-18,USD,37.4215
2023-02-18,EUR,39.5516
2023-02-18,UAH,1.0
2023-02-19,USD,37.4488
2023-02-19,EUR,39.5774
2023-02-19,UAH,1.0
2023-02-20,USD,37.3993
2023-02-20,EUR,39.5456
2023-02-20,UAH,1.0
2023-02-21,USD,37.4705
2023-02-21,EUR,39.5194
2023-02-21,UAH,1.0
2023-02-22,USD,37.4977
2023-02-22,EUR,39.4526
2023-02-22,UAH,1.0
2023-02-23,USD,37.453
2023-02-23,EUR,39.5454
2023-02-23,UAH,1.0
2023-02-24,USD,37.4259
2023-02-24,EUR,39.5428
2023-02-24,UAH,1.0
2023-02-25,USD,37.514
2023-02-25,EUR,39.5312
2023-02-25,UAH,1.0
2023-02-26,USD,37.5262
2023-02-26,EUR,39.6087
2023-02-26,UAH,1.0
2023-02-27,USD,37.6004
2023-02-27,EUR,39.6397
2023-02-27,UAH,1.0
2023-02-28,USD,37.6264
2023-02-28,EUR,39.6494
2023-02-28,UAH,1.0
2023-03-01,USD,37.5906
2023-03-01,EUR,39.6794
2023-03-01,UAH,1.0
2023-03-02,USD,37.6722
2023-03-02,EUR,39.7344
2023-03-02,UAH,1.0
2023-03-03,USD,37.6559
2023-03-03,EUR,39.8109
2023-03-03,UAH,1.0
2023-03-04,USD,37.7281
2023-03-04,EUR,39.875
2023-03-04,UAH,1.0
2023-03-05,USD,37.78
2023-03-05,EUR,39.9302
2023-03-05,UAH,1.0
2023-03-06,USD,37.7568
2023-03-06,EUR,40.0075
2023-03-06,UAH,1.0
2023-03-07,USD,37.7768
2023-03-07,EUR,40.065
2023-03-07,UAH,1.0
2023-03-08,USD,37.8007
2023-03-08,EUR,40.0761
2023-03-08,UAH,1.0
2023-03-09,USD,37.7889
2023-03-09,EUR,40.0887
2023-03-09,UAH,1.0
2023-03-10,USD,37.7313
2023-03-10,EUR,40.0926
2023-03-10,UAH,1.0
2023-03-11,USD,37.7003
2023-03-11,EUR,40.18
2023-03-11,UAH,1.0
2023-03-12,USD,37.6543
2023-03-12,EUR,40.1926
2023-03-12,UAH,1.0
2023-03-13,USD,37.6493
2023-03-13,EUR,40.2778
2023-03-13,UAH,1.0
2023-03-14,USD,37.685
2023-03-14,EUR,40.2276
2023-03-14,UAH,1.0
2023-03-15,USD,37.7743
2023-03-15,EUR,40.2039
2023-03-15,UAH,1.0
2023-03-16,USD,37.8207
2023-03-16,EUR,40.243
2023-03-16,UAH,1.0
2023-03-17,USD,37.8119
2023-03-17,EUR,40.2114
2023-03-17,UAH,1.0
2023-03-18,USD,37.899
2023-03-18,EUR,40.2407
2023-03-18,UAH,1.0
2023-03-19,USD,37.953
2023-03-19,EUR,40.2408
2023-03-19,UAH,1.0
2023-03-20,USD,37.9148
2023-03-20,EUR,40.2866
2023-03-20,UAH,1.0
2023-03-21,USD,37.8677
2023-03-21,EUR,40.3034
2023-03-21,UAH,1.0
2023-03-22,USD,37.9072
2023-03-22,EUR,40.2922
2023-03-22,UAH,1.0
2023-03-23,USD,37.8996
2023-03-23,EUR,40.3293
2023-03-23,UAH,1.0
2023-03-24,USD,37.9423
2023-03-24,EUR,40.2696
2023-03-24,UAH,1.0
2023-03-25,USD,37.8914
2023-03-25,EUR,40.3106
2023-03-25,UAH,1.0
2023-03-26,USD,37.9691
2023-03-26,EUR,40.3937
2023-03-26,UAH,1.0
2023-03-27,USD,38.0069
2023-03-27,EUR,40.3487
2023-03-27,UAH,1.0
2023-03-28,USD,38.0436
2023-03-28,EUR,40.3451
2023-03-28,UAH,1.0
2023-03-29,USD,38.0266
2023-03-29,EUR,40.2879
2023-03-29,UAH,1.0
2023-03-30,USD,38.0828
2023-03-30,EUR,40.306
2023-03-30,UAH,1.0
2023-03-31,USD,38.0878
2023-03-31,EUR,40.3138
2023-03-31,UAH,1.0
2023-04-01,USD,38.1672
2023-04-01,EUR,40.2864
2023-04-01,UAH,1.0
2023-04-02,USD,38.1633
2023-04-02,EUR,40.2477
2023-04-02,UAH,1.0
2023-04-03,USD,38.1863
2023-04-03,EUR,40.2728
2023-04-03,UAH,1.0
2023-04-04,USD,38.2007
2023-04-04,EUR,40.2545
2023-04-04,UAH,1.0
2023-04-05,USD,38.1926
2023-04-05,EUR,40.3057
2023-04-05,UAH,1.0
2023-04-06,USD,38.2583
2023-04-06,EUR,40.2625
2023-04-06,UAH,1.0
2023-04-07,USD,38.2727
2023-04-07,EUR,40.2804
2023-04-07,UAH,1.0
2023-04-08,USD,38.3031
2023-04-08,EUR,40.3305
2023-04-08,UAH,1.0
2023-04-09,USD,38.2513
2023-04-09,EUR,40.3823
2023-04-09,UAH,1.0
2023-04-10,USD,38.3401
2023-04-10,EUR,40.3483
2023-04-10,UAH,1.0
2023-04-11,USD,38.3391
2023-04-11,EUR,40.3311
2023-04-11,UAH,1.0
2023-04-12,USD,38.3744
2023-04-12,EUR,40.2911
2023-04-12,UAH,1.0
2023-04-13,USD,38.322
2023-04-13,EUR,40.3116
2023-04-13,UAH,1.0
2023-04-14,USD,38.3073
2023-04-14,EUR,40.2452
2023-04-14,UAH,1.0
2023-04-15,USD,38.3222
2023-04-15,EUR,40.291
2023-04-15,UAH,1.0
2023-04-16,USD,38.2965
2023-04-16,EUR,40.3496
2023-04-16,UAH,1.0
2023-04-17,USD,38.2795
2023-04-17,EUR,40.3535
2023-04-17,UAH,1.0
2023-04-18,USD,38.3274
2023-04-18,EUR,40.356
2023-04-18,UAH,1.0
2023-04-19,USD,38.3285
2023-04-19,EUR,40.2916
2023-04-19,UAH,1.0
2023-04-20,USD,38.4029
2023-04-20,EUR,40.2858
2023-04-20,UAH,1.0
2023-04-21,USD,38.4647
2023-04-21,EUR,40.2263
2023-04-21,UAH,1.0
2023-04-22,USD,38.4943
2023-04-22,EUR,40.2727
2023-04-22,UAH,1.0
2023-04-23,USD,38.5709
2023-04-23,EUR,40.3045
2023-04-23,UAH,1.0
2023-04-24,USD,38.5426
2023-04-24,EUR,40.3858
2023-04-24,UAH,1.0
2023-04-25,USD,38.6247
2023-04-25,EUR,40.3718
2023-04-25,UAH,1.0
2023-04-26,USD,38.6369
2023-04-26,EUR,40.4337
2023-04-26,UAH,1.0
2023-04-27,USD,38.6803
2023-04-27,EUR,40.5087
2023-04-27,UAH,1.0
2023-04-28,USD,38.6362
2023-04-28,EUR,40.4628
2023-04-28,UAH,1.0
2023-04-29,USD,38.7185
2023-04-29,EUR,40.5259
2023-04-29,UAH,1.0
2023-04-30,USD,38.6911
2023-04-30,EUR,40.5191
2023-04-30,UAH,1.0
2023-05-01,USD,38.6874
2023-05-01,EUR,40.4594
2023-05-01,UAH,1.0
2023-05-02,USD,38.7372
2023-05-02,EUR,40.473
2023-05-02,UAH,1.0
2023-05-03,USD,38.7351
2023-05-03,EUR,40.4537
2023-05-03,UAH,1.0
2023-05-04,USD,38.7168
2023-05-04,EUR,40.455
2023-05-04,UAH,1.0
2023-05-05,USD,38.6688
2023-05-05,EUR,40.4057
2023-05-05,UAH,1.0
2023-05-06,USD,38.6832
2023-05-06,EUR,40.4425
2023-05-06,UAH,1.0
2023-05-07,USD,38.626
2023-05-07,EUR,40.5352
2023-05-07,UAH,1.0
2023-05-08,USD,38.5669
2023-05-08,EUR,40.5479
2023-05-08,UAH,1.0
2023-05-09,USD,38.5295
2023-05-09,EUR,40.5937
2023-05-09,UAH,1.0
2023-05-10,USD,38.5356
2023-05-10,EUR,40.6931
2023-05-10,UAH,1.0
2023-05-11,USD,38.6189
2023-05-11,EUR,40.7517
2023-05-11,UAH,1.0
2023-05-12,USD,38.5709
2023-05-12,EUR,40.7325
2023-05-12,UAH,1.0
2023-05-13,USD,38.6391
2023-05-13,EUR,40.7606
2023-05-13,UAH,1.0
2023-05-14,USD,38.6971
2023-05-14,EUR,40.6939
2023-05-14,UAH,1.0
2023-05-15,USD,38.7568
2023-05-15,EUR,40.6719
2023-05-15,UAH,1.0
2023-05-16,USD,38.8213
2023-05-16,EUR,40.7448
2023-05-16,UAH,1.0
2023-05-17,USD,38.8231
2023-05-17,EUR,40.7123
2023-05-17,UAH,1.0
2023-05-18,USD,38.8191
2023-05-18,EUR,40.801
2023-05-18,UAH,1.0
2023-05-19,USD,38.7804
2023-05-19,EUR,40.7755
2023-05-19,UAH,1.0
2023-05-20,USD,38.7339
2023-05-20,EUR,40.7323
2023-05-20,UAH,1.0
2023-05-21,USD,38.803
2023-05-21,EUR,40.6781
2023-05-21,UAH,1.0
2023-05-22,USD,38.7596
2023-05-22,EUR,40.6227
2023-05-22,UAH,1.0
2023-05-23,USD,38.8151
2023-05-23,EUR,40.7198
2023-05-23,UAH,1.0
2023-05-24,USD,38.8631
2023-05-24,EUR,40.6953
2023-05-24,UAH,1.0
2023-05-25,USD,38.8309
2023-05-25,EUR,40.7793
2023-05-25,UAH,1.0
2023-05-26,USD,38.8344
2023-05-26,EUR,40.8626
2023-05-26,UAH,1.0
2023-05-27,USD,38.8241
2023-05-27,EUR,40.9519
2023-05-27,UAH,1.0
2023-05-28,USD,38.8975
2023-05-28,EUR,41.0158
2023-05-28,UAH,1.0
2023-05-29,USD,38.95
2023-05-29,EUR,41.0288
2023-05-29,UAH,1.0
2023-05-30,USD,38.8951
2023-05-30,EUR,41.0287
2023-05-30,UAH,1.0
2023-05-31,USD,38.9661
2023-05-31,EUR,41.0919
2023-05-31,UAH,1.0
2023-06-01,USD,38.94
2023-06-01,EUR,41.1622
2023-06-01,UAH,1.0
2023-06-02,USD,38.9529
2023-06-02,EUR,41.2426
2023-06-02,UAH,1.0
2023-06-03,USD,39.0122
2023-06-03,EUR,41.3094
2023-06-03,UAH,1.0
2023-06-04,USD,39.0673
2023-06-04,EUR,41.2558
2023-06-04,UAH,1.0
2023-06-05,USD,39.112
2023-06-05,EUR,41.3035
2023-06-05,UAH,1.0
2023-06-06,USD,39.072
2023-06-06,EUR,41.2662
2023-06-06,UAH,1.0
2023-06-07,USD,39.0684
2023-06-07,EUR,41.2547
2023-06-07,UAH,1.0
2023-06-08,USD,39.1556
2023-06-08,EUR,41.2556
2023-06-08,UAH,1.0
2023-06-09,USD,39.1194
2023-06-09,EUR,41.3039
2023-06-09,UAH,1.0
2023-06-10,USD,39.0935
2023-06-10,EUR,41.3566
2023-06-10,UAH,1.0
2023-06-11,USD,39.1225
2023-06-11,EUR,41.2983
2023-06-11,UAH,1.0
2023-06-12,USD,39.1773
2023-06-12,EUR,41.311
2023-06-12,UAH,1.0
2023-06-13,USD,39.2189
2023-06-13,EUR,41.2768
2023-06-13,UAH,1.0
2023-06-14,USD,39.1963
2023-06-14,EUR,41.3417
2023-06-14,UAH,1.0
2023-06-15,USD,39.207
2023-06-15,EUR,41.2945
2023-06-15,UAH,1.0
2023-06-16,USD,39.2884
2023-06-16,EUR,41.3823
2023-06-16,UAH,1.0
2023-06-17,USD,39.2471
2023-06-17,EUR,41.4202
2023-06-17,UAH,1.0
2023-06-18,USD,39.2279
2023-06-18,EUR,41.505
2023-06-18,UAH,1.0
2023-06-19,USD,39.1698
2023-06-19,EUR,41.5261
2023-06-19,UAH,1.0
2023-06-20,USD,39.1451
2023-06-20,EUR,41.5011
2023-06-20,UAH,1.0
2023-06-21,USD,39.1817
2023-06-21,EUR,41.4919
2023-06-21,UAH,1.0
2023-06-22,USD,39.2097
2023-06-22,EUR,41.5129
2023-06-22,UAH,1.0
2023-06-23,USD,39.1926
2023-06-23,EUR,41.5362
2023-06-23,UAH,1.0
2023-06-24,USD,39.1475
2023-06-24,EUR,41.5796
2023-06-24,UAH,1.0
2023-06-25,USD,39.1936
2023-06-25,EUR,41.6757
2023-06-25,UAH,1.0
2023-06-26,USD,39.1439
2023-06-26,EUR,41.722
2023-06-26,UAH,1.0
2023-06-27,USD,39.1142
2023-06-27,EUR,41.7116
2023-06-27,UAH,1.0
2023-06-28,USD,39.0898
2023-06-28,EUR,41.7233
2023-06-28,UAH,1.0
2023-06-29,USD,39.035
2023-06-29,EUR,41.7274
2023-06-29,UAH,1.0
2023-06-30,USD,38.9848
2023-06-30,EUR,41.6702
2023-06-30,UAH,1.0
2023-07-01,USD,39.0045
2023-07-01,EUR,41.7351
2023-07-01,UAH,1.0
2023-07-02,USD,39.0161
2023-07-02,EUR,41.6999
2023-07-02,UAH,1.0
2023-07-03,USD,39.0475
2023-07-03,EUR,41.7723
2023-07-03,UAH,1.0
2023-07-04,USD,39.0482
2023-07-04,EUR,41.8073
2023-07-04,UAH,1.0
2023-07-05,USD,38.9901
2023-07-05,EUR,41.8355
2023-07-05,UAH,1.0
2023-07-06,USD,39.0241
2023-07-06,EUR,41.9139
2023-07-06,UAH,1.0
2023-07-07,USD,39.0578
2023-07-07,EUR,41.8458
2023-07-07,UAH,1.0
2023-07-08,USD,39.0055
2023-07-08,EUR,41.9299
2023-07-08,UAH,1.0
2023-07-09,USD,39.0512
2023-07-09,EUR,41.871
2023-07-09,UAH,1.0
2023-07-10,USD,39.0186
2023-07-10,EUR,41.9462
2023-07-10,UAH,1.0
2023-07-11,USD,39.0891
2023-07-11,EUR,41.9447
2023-07-11,UAH,1.0
2023-07-12,USD,39.0549
2023-07-12,EUR,41.9463
2023-07-12,UAH,1.0
2023-07-13,USD,39.109
2023-07-13,EUR,42.0288
2023-07-13,UAH,1.0
2023-07-14,USD,39.1574
2023-07-14,EUR,42.1257
2023-07-14,UAH,1.0
2023-07-15,USD,39.245
2023-07-15,EUR,42.1104
2023-07-15,UAH,1.0
2023-07-16,USD,39.3091
2023-07-16,EUR,42.1595
2023-07-16,UAH,1.0
2023-07-17,USD,39.372
2023-07-17,EUR,42.1398
2023-07-17,UAH,1.0
2023-07-18,USD,39.3832
2023-07-18,EUR,42.2349
2023-07-18,UAH,1.0
2023-07-19,USD,39.3437
2023-07-19,EUR,42.2344
2023-07-19,UAH,1.0
2023-07-20,USD,39.3639
2023-07-20,EUR,42.3009
2023-07-20,UAH,1.0
2023-07-21,USD,39.3733
2023-07-21,EUR,42.3711
2023-07-21,UAH,1.0
2023-07-22,USD,39.4181
2023-07-22,EUR,42.403
2023-07-22,UAH,1.0
2023-07-23,USD,39.4064
2023-07-23,EUR,42.4591
2023-07-23,UAH,1.0
2023-07-24,USD,39.4821
2023-07-24,EUR,42.4057
2023-07-24,UAH,1.0
2023-07-25,USD,39.4291
2023-07-25,EUR,42.4719
2023-07-25,UAH,1.0
2023-07-26,USD,39.4972
2023-07-26,EUR,42.5068
2023-07-26,UAH,1.0
2023-07-27,USD,39.5727
2023-07-27,EUR,42.5743
2023-07-27,UAH,1.0
2023-07-28,USD,39.5547
2023-07-28,EUR,42.5769
2023-07-28,UAH,1.0
2023-07-29,USD,39.522
2023-07-29,EUR,42.649
2023-07-29,UAH,1.0
2023-07-30,USD,39.4691
2023-07-30,EUR,42.6653
2023-07-30,UAH,1.0
2023-07-31,USD,39.4616
2023-07-31,EUR,42.6643
2023-07-31,UAH,1.0
2023-08-01,USD,39.4283
2023-08-01,EUR,42.6965
2023-08-01,UAH,1.0
2023-08-02,USD,39.4438
2023-08-02,EUR,42.7932
2023-08-02,UAH,1.0
2023-08-03,USD,39.406
2023-08-03,EUR,42.8613
2023-08-03,UAH,1.0
2023-08-04,USD,39.351
2023-08-04,EUR,42.7979
2023-08-04,UAH,1.0
2023-08-05,USD,39.3513
2023-08-05,EUR,42.7528
2023-08-05,UAH,1.0
2023-08-06,USD,39.3623
2023-08-06,EUR,42.6895
2023-08-06,UAH,1.0
2023-08-07,USD,39.3032
2023-08-07,EUR,42.6555
2023-08-07,UAH,1.0
2023-08-08,USD,39.2788
2023-08-08,EUR,42.6068
2023-08-08,UAH,1.0
2023-08-09,USD,39.3344
2023-08-09,EUR,42.6828
2023-08-09,UAH,1.0
2023-08-10,USD,39.3913
2023-08-10,EUR,42.7694
2023-08-10,UAH,1.0
2023-08-11,USD,39.3349
2023-08-11,EUR,42.8212
2023-08-11,UAH,1.0
2023-08-12,USD,39.3576
2023-08-12,EUR,42.7846
2023-08-12,UAH,1.0
2023-08-13,USD,39.4151
2023-08-13,EUR,42.7637
2023-08-13,UAH,1.0
2023-08-14,USD,39.4626
2023-08-14,EUR,42.8485
2023-08-14,UAH,1.0
2023-08-15,USD,39.4924
2023-08-15,EUR,42.7951
2023-08-15,UAH,1.0
2023-08-16,USD,39.526
2023-08-16,EUR,42.8608
2023-08-16,UAH,1.0
2023-08-17,USD,39.5199
2023-08-17,EUR,42.8405
2023-08-17,UAH,1.0
2023-08-18,USD,39.6012
2023-08-18,EUR,42.8189
2023-08-18,UAH,1.0
2023-08-19,USD,39.6298
2023-08-19,EUR,42.7575
2023-08-19,UAH,1.0
2023-08-20,USD,39.5843
2023-08-20,EUR,42.7486
2023-08-20,UAH,1.0
2023-08-21,USD,39.5687
2023-08-21,EUR,42.8198
2023-08-21,UAH,1.0
2023-08-22,USD,39.5401
2023-08-22,EUR,42.8775
2023-08-22,UAH,1.0
2023-08-23,USD,39.593
2023-08-23,EUR,42.9574
2023-08-23,UAH,1.0
2023-08-24,USD,39.6131
2023-08-24,EUR,42.9168
2023-08-24,UAH,1.0
2023-08-25,USD,39.6577
2023-08-25,EUR,43.0009
2023-08-25,UAH,1.0
2023-08-26,USD,39.7417
2023-08-26,EUR,42.9718
2023-08-26,UAH,1.0
2023-08-27,USD,39.7282
2023-08-27,EUR,43.0396
2023-08-27,UAH,1.0
2023-08-28,USD,39.7682
2023-08-28,EUR,42.9735
2023-08-28,UAH,1.0
2023-08-29,USD,39.7225
2023-08-29,EUR,42.9945
2023-08-29,UAH,1.0
2023-08-30,USD,39.7915
2023-08-30,EUR,42.9717
2023-08-30,UAH,1.0
2023-08-31,USD,39.8572
2023-08-31,EUR,42.9132
2023-08-31,UAH,1.0
2023-09-01,USD,39.9085
2023-09-01,EUR,42.9771
2023-09-01,UAH,1.0
2023-09-02,USD,39.8695
2023-09-02,EUR,43.0197
2023-09-02,UAH,1.0
2023-09-03,USD,39.8743
2023-09-03,EUR,43.0415
2023-09-03,UAH,1.0
2023-09-04,USD,39.9149
2023-09-04,EUR,43.0485
2023-09-04,UAH,1.0
2023-09-05,USD,39.9658
2023-09-05,EUR,43.0726
2023-09-05,UAH,1.0
2023-09-06,USD,40.0292
2023-09-06,EUR,43.0279
2023-09-06,UAH,1.0
2023-09-07,USD,40.0392
2023-09-07,EUR,43.0253
2023-09-07,UAH,1.0
2023-09-08,USD,39.9916
2023-09-08,EUR,42.9762
2023-09-08,UAH,1.0
2023-09-09,USD,39.9487
2023-09-09,EUR,43.0354
2023-09-09,UAH,1.0
2023-09-10,USD,39.955
2023-09-10,EUR,43.0325
2023-09-10,UAH,1.0
2023-09-11,USD,40.0409
2023-09-11,EUR,43.0381
2023-09-11,UAH,1.0
2023-09-12,USD,40.0605
2023-09-12,EUR,43.0086
2023-09-12,UAH,1.0
2023-09-13,USD,40.01
2023-09-13,EUR,43.0951
2023-09-13,UAH,1.0
2023-09-14,USD,39.9664
2023-09-14,EUR,43.0702
2023-09-14,UAH,1.0
2023-09-15,USD,39.9455
2023-09-15,EUR,43.1244
2023-09-15,UAH,1.0
2023-09-16,USD,39.9631
2023-09-16,EUR,43.1708
2023-09-16,UAH,1.0
2023-09-17,USD,39.9846
2023-09-17,EUR,43.1658
2023-09-17,UAH,1.0
2023-09-18,USD,39.965
2023-09-18,EUR,43.1727
2023-09-18,UAH,1.0
2023-09-19,USD,39.9652
2023-09-19,EUR,43.254
2023-09-19,UAH,1.0
2023-09-20,USD,40.0226
2023-09-20,EUR,43.3102
2023-09-20,UAH,1.0
2023-09-21,USD,39.9704
2023-09-21,EUR,43.3368
2023-09-21,UAH,1.0
2023-09-22,USD,39.9122
2023-09-22,EUR,43.3301
2023-09-22,UAH,1.0
2023-09-23,USD,39.9932
2023-09-23,EUR,43.2791
2023-09-23,UAH,1.0
2023-09-24,USD,40.0261
2023-09-24,EUR,43.3212
2023-09-24,UAH,1.0
2023-09-25,USD,40.0871
2023-09-25,EUR,43.3576
2023-09-25,UAH,1.0
2023-09-26,USD,40.1448
2023-09-26,EUR,43.2999
2023-09-26,UAH,1.0
2023-09-27,USD,40.1406
2023-09-27,EUR,43.2301
2023-09-27,UAH,1.0
2023-09-28,USD,40.1673
2023-09-28,EUR,43.3236
2023-09-28,UAH,1.0
2023-09-29,USD,40.2262
2023-09-29,EUR,43.3105
2023-09-29,UAH,1.0
2023-09-30,USD,40.2272
2023-09-30,EUR,43.3174
2023-09-30,UAH,1.0
2023-10-01,USD,40.1944
2023-10-01,EUR,43.336
2023-10-01,UAH,1.0
2023-10-02,USD,40.1879
2023-10-02,EUR,43.3506
2023-10-02,UAH,1.0
2023-10-03,USD,40.2441
2023-10-03,EUR,43.3208
2023-10-03,UAH,1.0
2023-10-04,USD,40.2531
2023-10-04,EUR,43.3612
2023-10-04,UAH,1.0
2023-10-05,USD,40.3333
2023-10-05,EUR,43.4362
2023-10-05,UAH,1.0
2023-10-06,USD,40.4202
2023-10-06,EUR,43.4141
2023-10-06,UAH,1.0
2023-10-07,USD,40.4528
2023-10-07,EUR,43.4263
2023-10-07,UAH,1.0
2023-10-08,USD,40.5309
2023-10-08,EUR,43.513
2023-10-08,UAH,1.0
2023-10-09,USD,40.5988
2023-10-09,EUR,43.5686
2023-10-09,UAH,1.0
2023-10-10,USD,40.6223
2023-10-10,EUR,43.6511
2023-10-10,UAH,1.0
2023-10-11,USD,40.708
2023-10-11,EUR,43.6448
2023-10-11,UAH,1.0
2023-10-12,USD,40.6973
2023-10-12,EUR,43.7203
2023-10-12,UAH,1.0
2023-10-13,USD,40.6425
2023-10-13,EUR,43.7454
2023-10-13,UAH,1.0
2023-10-14,USD,40.6666
2023-10-14,EUR,43.6869
2023-10-14,UAH,1.0
2023-10-15,USD,40.7163
2023-10-15,EUR,43.7262
2023-10-15,UAH,1.0
2023-10-16,USD,40.7277
2023-10-16,EUR,43.7056
2023-10-16,UAH,1.0
2023-10-17,USD,40.7965
2023-10-17,EUR,43.6575
2023-10-17,UAH,1.0
2023-10-18,USD,40.8153
2023-10-18,EUR,43.6742
2023-10-18,UAH,1.0
2023-10-19,USD,40.7883
2023-10-19,EUR,43.7233
2023-10-19,UAH,1.0
2023-10-20,USD,40.8499
2023-10-20,EUR,43.6793
2023-10-20,UAH,1.0
2023-10-21,USD,40.827
2023-10-21,EUR,43.6293
2023-10-21,UAH,1.0
2023-10-22,USD,40.8711
2023-10-22,EUR,43.7249
2023-10-22,UAH,1.0
2023-10-23,USD,40.828
2023-10-23,EUR,43.7106
2023-10-23,UAH,1.0
2023-10-24,USD,40.8331
2023-10-24,EUR,43.7015
2023-10-24,UAH,1.0
2023-10-25,USD,40.8138
2023-10-25,EUR,43.7058
2023-10-25,UAH,1.0
2023-10-26,USD,40.8313
2023-10-26,EUR,43.7689
2023-10-26,UAH,1.0
2023-10-27,USD,40.8831
2023-10-27,EUR,43.7089
2023-10-27,UAH,1.0
2023-10-28,USD,40.9209
2023-10-28,EUR,43.6793
2023-10-28,UAH,1.0
2023-10-29,USD,40.9437
2023-10-29,EUR,43.717
2023-10-29,UAH,1.0
2023-10-30,USD,41.0026
2023-10-30,EUR,43.675
2023-10-30,UAH,1.0
2023-10-31,USD,40.998
2023-10-31,EUR,43.7412
2023-10-31,UAH,1.0
2023-11-01,USD,41.0337
2023-11-01,EUR,43.8017
2023-11-01,UAH,1.0
